#prot	pigment	nuc	lipid	PARAM (output val)
HA1 	P 	NH 	NoLi	1,078
HA1 	P 	NH 	NoLi	1,50539
HA1 	P 	NH 	NoLi	1,46632
HA1 	P 	NH 	NoLi	1,23531
HA1 	P 	NH 	NoLi	1,37079
HA1 	P 	NH 	NoLi	1,30943
HA1 	P 	NH 	NoLi	1,31276
HA1 	P 	NH 	NoLi	1,12388
HA1 	P 	NH 	NoLi	1,00437
HA1 	P 	NH 	NoLi	1,09559
HA1 	P 	NH 	NoLi	1,15092
				
HA3 	P 	NH 	NoLi	1,16738
HA3 	P 	NH 	NoLi	1,20899
HA3 	P 	NH 	NoLi	0,87816
HA3 	P 	NH 	NoLi	0,92627
HA3 	P 	NH 	NoLi	0,73037
HA3 	P 	NH 	NoLi	0,63845
HA3 	P 	NH 	NoLi	0,83455
HA3 	P 	NH 	NoLi	0,9094
HA3 	P 	NH 	NoLi	0,7787
HA3 	P 	NH 	NoLi	0,83111
HA3 	P 	NH 	PG	1,33575
HA3 	P 	NH 	PG	0,95967
HA3 	P 	NH 	OPT	3,97567
HA3 	P 	NH 	OPT	2,11611
HA3 	P 	NH 	OPT	2,73394
HA3 	P 	NH 	OPT	3,2922
HA3 	P 	NH 	OPT	2,30311
HA3 	P 	NH 	OPT	2,12263
HA3 	P 	NH 	OPT	1,64248
HA3 	P 	NH 	OPT	1,76983
HA3 	P 	N+ 	NoLi	0,36656
HA3 	P 	N+ 	NoLi	0,36035
HA3 	P 	N+ 	PG	0,23769
HA3 	P 	N+ 	PG	0,23295
HA3 	P 	N+ 	OPT	0,59041
HA3 	P 	N+ 	OPT	0,66763
HA3 	C 	NH 	NoLi	2,26077094
HA3 	C 	NH 	NoLi	2,280057236
HA3 	C 	NH 	NoLi	2,211333466
HA3 	C 	NH 	NoLi	2,251923178
HA3 	C 	NH 	PG	3,249476026
HA3 	C 	NH 	PG	3,5918519
HA3 	C 	NH 	PG	3,184550597
HA3 	C 	NH 	PG	3,537926323
HA3 	C 	NH 	OPT	2,151635451
HA3 	C 	NH 	OPT	2,682214652
HA3 	C 	NH 	OPT	2,220529778
HA3 	C 	NH 	OPT	2,737907341
HA3 	C 	N+ 	NoLi	2,378025534
HA3 	C 	N+ 	NoLi	2,271738181
HA3 	C 	N+ 	NoLi	2,199000777
HA3 	C 	N+ 	NoLi	2,248033866
HA3 	C 	N+ 	PG	3,36699475
HA3 	C 	N+ 	PG	4,013300256
HA3 	C 	N+ 	PG	3,088947989
HA3 	C 	N+ 	PG	3,827252824
HA3 	C 	N+ 	OPT	2,324027552
HA3 	C 	N+ 	OPT	2,743976391
HA3 	C 	N+ 	OPT	2,043469745
HA3 	C 	N+ 	OPT	2,508758258
HA3 	P 	NH 	NoLi	1,16738
HA3 	P 	NH 	NoLi	1,20899
HA3 	P 	NH 	NoLi	0,87816
HA3 	P 	NH 	NoLi	0,92627
HA3 	P 	NH 	NoLi	0,73037
HA3 	P 	NH 	NoLi	0,63845
HA3 	P 	NH 	NoLi	0,83455
HA3 	P 	NH 	NoLi	0,9094
HA3 	P 	NH 	NoLi	0,7787
HA3 	P 	NH 	NoLi	0,83111
				
SlPOR2 	P 	NH 	NoLi	2,47322
SlPOR2 	P 	NH 	NoLi	2,40315
SlPOR2 	P 	NH 	NoLi	1,4221
SlPOR2 	P 	NH 	NoLi	1,19526
SlPOR2 	P 	NH 	PG	1,90883
SlPOR2 	P 	NH 	PG	1,11965
SlPOR2 	P 	NH 	OPT	3,57432
SlPOR2 	P 	NH 	OPT	3,22417
SlPOR2 	P 	N+ 	NoLi	0,63278
SlPOR2 	P 	N+ 	NoLi	0,69639
SlPOR2 	P 	N+ 	PG	0,34812
SlPOR2 	P 	N+ 	PG	0,40685
SlPOR2 	P 	N+ 	OPT	0,49925
SlPOR2 	P 	N+ 	OPT	0,48917
SlPOR2 	C 	NH 	NoLi	1,912586755
SlPOR2 	C 	NH 	NoLi	2,13142541
SlPOR2 	C 	NH 	NoLi	2,145815487
SlPOR2 	C 	NH 	PG	2,711461709
SlPOR2 	C 	NH 	PG	3,493412474
SlPOR2 	C 	NH 	OPT	2,690417657
SlPOR2 	C 	NH 	OPT	2,688927183
SlPOR2 	C 	N+ 	NoLi	1,032109172
SlPOR2 	C 	N+ 	NoLi	1,172909291
SlPOR2 	C 	N+ 	NoLi	2,426137233
SlPOR2 	C 	N+ 	PG	3,841617923
SlPOR2 	C 	N+ 	PG	3,708464656
SlPOR2 	C 	N+ 	OPT	3,177434055
SlPOR2 	C 	N+ 	OPT	3,22441406
SlPOR2 	P 	NH 	NoLi	2,47322
SlPOR2 	P 	NH 	NoLi	2,40315
SlPOR2 	P 	NH 	NoLi	1,4221
SlPOR2 	P 	NH 	NoLi	1,19526
				
SlPOR3 	P 	NH 	NoLi	1,47196
SlPOR3 	P 	NH 	NoLi	1,44532
SlPOR3 	P 	NH 	NoLi	3,61554
SlPOR3 	P 	NH 	NoLi	3,36451
SlPOR3 	P 	NH 	NoLi	3,11675
SlPOR3 	P 	NH 	PG	1,56432
SlPOR3 	P 	NH 	PG	2,23201
SlPOR3 	P 	NH 	OPT	2,34751
SlPOR3 	P 	NH 	OPT	4,01673
SlPOR3 	P 	N+ 	NoLi	0,67035
SlPOR3 	P 	N+ 	NoLi	0,65328
SlPOR3 	P 	N+ 	PG	0,23227
SlPOR3 	P 	N+ 	PG	0,2116
SlPOR3 	P 	N+ 	OPT	0,8988
SlPOR3 	P 	N+ 	OPT	0,81831
SlPOR3 	C 	NH 	NoLi	2,771425546
SlPOR3 	C 	NH 	NoLi	2,605592136
SlPOR3 	C 	NH 	PG	4,241250059
SlPOR3 	C 	NH 	PG	3,629353681
SlPOR3 	C 	NH 	OPT	3,404334788
SlPOR3 	C 	NH 	OPT	2,840507851
SlPOR3 	C 	N+ 	NoLi	1,757086931
SlPOR3 	C 	N+ 	NoLi	2,516159809
SlPOR3 	C 	N+ 	PG	3,345938339
SlPOR3 	C 	N+ 	PG	3,493248316
SlPOR3 	C 	N+ 	OPT	3,358610984
SlPOR3 	C 	N+ 	OPT	3,5654732
SlPOR3 	P 	NH 	NoLi	1,47196
SlPOR3 	P 	NH 	NoLi	1,44532
SlPOR3 	P 	NH 	NoLi	3,61554
SlPOR3 	P 	NH 	NoLi	3,36451
SlPOR3 	P 	NH 	NoLi	3,11675
				
AtPORA 	P 	NH 	NoLi	0,88886
AtPORA 	P 	NH 	NoLi	0,98861
AtPORA 	P 	NH 	NoLi	0,80647
AtPORA 	P 	NH 	NoLi	0,81905
AtPORA 	P 	NH 	NoLi	0,85501
AtPORA 	P 	NH 	NoLi	0,91793
AtPORA 	P 	NH 	PG	1,45333
AtPORA 	P 	NH 	PG	1,57548
AtPORA 	P 	NH 	OPT	3,13629
AtPORA 	P 	NH 	OPT	3,41254
AtPORA 	P 	N+ 	NoLi	0,45238
AtPORA 	P 	N+ 	NoLi	0,47512
AtPORA 	P 	N+ 	PG	0,28874
AtPORA 	P 	N+ 	PG	0,29026
AtPORA 	P 	N+ 	OPT	0,76255
AtPORA 	P 	N+ 	OPT	0,71019
AtPORA 	C 	NH 	NoLi	2,057498801
AtPORA 	C 	NH 	NoLi	1,950402899
AtPORA 	C 	NH 	PG	3,811496343
AtPORA 	C 	NH 	PG	3,980116886
AtPORA 	C 	NH 	OPT	2,80390811
AtPORA 	C 	NH 	OPT	2,728301747
AtPORA 	C 	N+ 	NoLi	2,091435575
AtPORA 	C 	N+ 	NoLi	2,079030207
AtPORA 	C 	N+ 	PG	3,556517092
AtPORA 	C 	N+ 	PG	3,671676834
AtPORA 	C 	N+ 	OPT	2,813916589
AtPORA 	C 	N+ 	OPT	2,90805613
AtPORA 	P 	NH 	NoLi	0,88886
AtPORA 	P 	NH 	NoLi	0,98861
AtPORA 	P 	NH 	NoLi	0,80647
AtPORA 	P 	NH 	NoLi	0,81905
AtPORA 	P 	NH 	NoLi	0,85501
AtPORA 	P 	NH 	NoLi	0,91793
				
AtPORB 	P 	NH 	NoLi	0,63643
AtPORB 	P 	NH 	NoLi	0,64869
AtPORB 	P 	NH 	NoLi	0,65434
AtPORB 	P 	NH 	NoLi	0,61251
AtPORB 	P 	NH 	NoLi	0,81894
AtPORB 	P 	NH 	NoLi	0,79013
AtPORB 	P 	NH 	NoLi	0,77634
AtPORB 	P 	NH 	NoLi	0,99514
AtPORB 	P 	NH 	PG	1,35821
AtPORB 	P 	NH 	PG	1,21302
AtPORB 	P 	NH 	OPT	2,80876
AtPORB 	P 	NH 	OPT	2,53016
AtPORB 	P 	N+ 	NoLi	0,2886
AtPORB 	P 	N+ 	NoLi	0,24944
AtPORB 	P 	N+ 	PG	0,24679
AtPORB 	P 	N+ 	PG	0,21165
AtPORB 	P 	N+ 	OPT	0,98089
AtPORB 	P 	N+ 	OPT	0,84951
AtPORB 	C 	NH 	NoLi	2,584434438
AtPORB 	C 	NH 	NoLi	2,222124215
AtPORB 	C 	NH 	NoLi	2,28825389
AtPORB 	C 	NH 	PG	3,930759182
AtPORB 	C 	NH 	PG	3,74851229
AtPORB 	C 	NH 	PG	3,869042642
AtPORB 	C 	NH 	OPT	2,802180898
AtPORB 	C 	NH 	OPT	2,954947258
AtPORB 	C 	NH 	OPT	2,829342922
AtPORB 	C 	N+ 	NoLi	2,642971089
AtPORB 	C 	N+ 	NoLi	2,287052078
AtPORB 	C 	N+ 	NoLi	2,251849538
AtPORB 	C 	N+ 	PG	3,201199719
AtPORB 	C 	N+ 	PG	3,83751797
AtPORB 	C 	N+ 	PG	3,755104131
AtPORB 	C 	N+ 	OPT	2,751202279
AtPORB 	C 	N+ 	OPT	2,836232898
AtPORB 	C 	N+ 	OPT	2,705452162
AtPORB 	P 	NH 	NoLi	0,63643
AtPORB 	P 	NH 	NoLi	0,64869
AtPORB 	P 	NH 	NoLi	0,65434
AtPORB 	P 	NH 	NoLi	0,61251
AtPORB 	P 	NH 	NoLi	0,81894
AtPORB 	P 	NH 	NoLi	0,79013
AtPORB 	P 	NH 	NoLi	0,77634
AtPORB 	P 	NH 	NoLi	0,99514
				
PeaPOR 	P 	NH 	NoLi	1,19589
PeaPOR 	P 	NH 	NoLi	2,02612
PeaPOR 	P 	NH 	NoLi	2,48502
PeaPOR 	P 	NH 	NoLi	2,54158
PeaPOR 	P 	NH 	PG	1,06036
PeaPOR 	P 	NH 	PG	1,15599
PeaPOR 	P 	NH 	OPT	8,1948
PeaPOR 	P 	N+ 	NoLi	0,44978
PeaPOR 	P 	N+ 	NoLi	0,45504
PeaPOR 	P 	N+ 	PG	0,19377
PeaPOR 	P 	N+ 	PG	0,19087
PeaPOR 	P 	N+ 	OPT	0,52717
PeaPOR 	P 	N+ 	OPT	0,43422
PeaPOR 	C 	NH 	NoLi	2,835845759
PeaPOR 	C 	NH 	NoLi	2,88662865
PeaPOR 	C 	NH 	PG	4,273856621
PeaPOR 	C 	NH 	PG	4,268487347
PeaPOR 	C 	NH 	OPT	3,17936755
PeaPOR 	C 	NH 	OPT	3,158141897
PeaPOR 	C 	N+ 	NoLi	2,585798948
PeaPOR 	C 	N+ 	NoLi	2,57331046
PeaPOR 	C 	N+ 	PG	4,162976413
PeaPOR 	C 	N+ 	PG	4,143469115
PeaPOR 	C 	N+ 	OPT	2,640017583
PeaPOR 	C 	N+ 	OPT	2,726265294
PeaPOR 	P 	NH 	NoLi	1,19589
PeaPOR 	P 	NH 	NoLi	2,02612
PeaPOR 	P 	NH 	NoLi	2,48502
PeaPOR 	P 	NH 	NoLi	2,54158
